# ['Data file recorded 2013/7/10  23:55:5']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [400, 0, 400, 0, 0, 400, 0, 400, 0, 0]']
# ['%  delta         = [16384, 16384, 16384, 16384]']
# ['%  intervals     = [35, 35, 15, 15]']
# ['% Columns: ']
# ['% seq | time | LPos| RPos | LPWM | RPWM | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | LEMF | REMF | BAT | Steer']
436 -19.92  20.49   344  -2246   169   392  1193   180  3924   110  -2169   -49   101   927  
440 -19.97  20.66   -30  -2368   707  -2672   530   178  2916  1198  3184   -32    99   927  
443 -19.98  20.93  -478  -2816   707  -2672   530   160  2916  1198  3184   -14   106   927  
446 -19.95  21.06  -1001  -3174   707  -2672   530   142  2916  1198  3184     6   115   927  
450 -19.93  21.23  -1452  -3522   331  -3836  -553   110  6448  -209  2677    23   122   927  
453 -19.87  21.44  -1581  -3368   331  -3836  -553    77  6448  -209  2677    26   107   927  
456 -19.82  21.60  -1783  -3325  -112  -480  -107    58  2913    22  3742    32    99   927  
460 -19.77  21.72  -1736  -3270  -112  -480  -107    54  2913    22  3742    28    92   926  
463 -19.69  21.87  -2240  -3251  -452  3165  -667    31  5653  -711  1393    45    85   927  
466 -19.62  21.97  -1966  -3253  -452  3165  -667     0  5653  -711  1393    31    81   927  
470 -19.54  22.07  -2496  -3057  -452  3165  -667   -31  5653  -711  1393    49    69   927  
473 -19.46  22.19  -2775  -2933   351  4315  -193   -46  1372  -2403  -767    57    59   927  
476 -19.39  22.27  -2529  -3111   351  4315  -193   -62  1372  -2403  -767    44    63   927  
480 -19.31  22.34  -2731  -2885   632  -720  -660   -92  7007  -864   643    49    51   927  
483 -19.18  22.42  -2812  -2740   632  -720  -660  -105  7007  -864   643    47    42   927  
486 -19.10  22.42  -2941  -2717   632  -720  -660  -118  7007  -864   643    49    41   927  
490 -19.00  22.48  -3346  -2369   312  -459   -31  -103  3818  -1795   970    61    25   927  
493 -18.90  22.50  -3520  -2170   312  -459   -31   -89  3818  -1795   970    64    16   927  
496 -18.85  22.50  -3295  -2072   233  1939   543   -56  4372   738  -726    53    12   927  
500 -18.78  22.50  -3118  -2122   233  1939   543   -25  4372   738  -726    43    14   927  
503 -18.73  22.51  -3368  -1899  -254   251  -237   -19  3978   646  -671    51     5   927  
506 -18.68  22.50  -2798  -2022  -254   251  -237    -9  3978   646  -671    26    10   927  
510 -18.66  22.50  -2620  -1874  -254   251  -237     0  3978   646  -671    18     4   927  
513 -18.63  22.50  -2520  -1723  -208  -203  -694    -4  4767  -709   751    13    -2   927  
516 -18.63  22.50  -2545  -1823  -208  -203  -694   -34  4767  -709   751    14     2   927  
520 -18.63  22.48  -1995  -1749  -395   612  -328   -53  3956  -1347  -784    -8     0   927  
523 -18.63  22.48  -1899  -1822  -395   612  -328   -48  3956  -1347  -784   -12     3   927  
526 -18.66  22.48  -1947  -1821  -395   612  -328   -42  3956  -1347  -784    -9     3   927  
530 -18.66  22.48  -2072  -1697  -269  -496   -88   -70  3561  -1103  -201    -4    -2   927  
533 -18.66  22.45  -2045  -1672  -269  -496   -88   -98  3561  -1103  -201    -5    -2   927  
536 -18.66  22.45  -2122  -1573  -255  -250   543  -106  4185  -1151  -471    -2    -6   927  
540 -18.66  22.45  -2195  -1496  -255  -250   543  -126  4185  -1151  -471     1    -9   927  
543 -18.66  22.45  -2073  -1746  -379  -748   822  -138  4381   127    90    -4     1   927  
546 -18.66  22.45  -2270  -1771  -379  -748   822  -129  4381   127    90     4     2   927  
550 -18.66  22.46  -2346  -1723  -379  -748   822  -120  4381   127    90     7     0   927  
553 -18.66  22.45  -1970  -1496  -305  -1342   442  -122  3997   481   426    -8    -9   927  
556 -18.66  22.43  -2373  -1624  -305  -1342   442   -91  3997   481   426     8    -3   927  
560 -18.66  22.43  -2246  -1498  -286  -944    26   -73  3869   110   647     3    -8   927  
563 -18.66  22.43  -2347  -1522  -286  -944    26   -69  3869   110   647     7    -7   927  
566 -18.66  22.43  -1946  -1621  -286  -944    26   -65  3869   110   647    -9    -3   927  
570 -18.66  22.43  -1948  -1547  -194  -896  -348   -55  4238  -404   609    -9    -6   927  
573 -18.66  22.43  -2121  -1872  -194  -896  -348   -45  4238  -404   609    -2     7   927  
576 -18.66  22.43  -2022  -1572   -62  -678  -360   -35  4062  -843   962    -6    -5   927  
580 -18.66  22.43  -2072  -1545   -62  -678  -360   -40  4062  -843   962    -4    -6   927  
583 -18.63  22.43  -2146  -1597   -63  -646  -222   -41  3747  -815  1337    -2    -4   927  
586 -18.63  22.43  -2244  -1549   -63  -646  -222   -28  3747  -815  1337     2    -6   927  
590 -18.63  22.43  -2322  -1523   -63  -646  -222   -14  3747  -815  1337     5    -7   926  
593 -18.66  22.43  -1970  -1522   -62   -25    -2     6  3970  -763  1206    -8    -7   927  
596 -18.66  22.43  -2321  -1521   -62   -25    -2     7  3970  -763  1206     6    -7   927  
600 -18.63  22.43  -2223  -1572    -4   598   230    15  4197  -567   775     1    -5   927  
