# ['Data file recorded 2013/1/14  7:59:53']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [300, 0, 300, 0, 50, 300, 0, 300, 0, 50]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF ']
386   9.41   9.70 1265 888 0 0 0 0 0 0 0 0 0  
390   9.40   9.80 1283 812 -1 -1 -1 0 -1 -1 -1 0 0  
393   9.41   9.95 1283 698 -1 -1 -1 0 -1 -1 -1 0 0  
396   9.41  10.07 1263 605 -1 -1 -1 0 -1 -1 -1 0 0  
400   9.38  10.20 1377 509 -1 -1 -1 0 -1 -1 -1 0 0  
403   9.38  10.37 1300 398 -1 -1 -1 0 -1 -1 -1 0 0  
406   9.38  10.49 1302 285 -1 -1 -1 0 -1 -1 -1 0 0  
410   9.38  10.61 1284 286 -1 -1 -1 0 -1 -1 -1 0 0  
413   9.38  10.81 1285 64 -1 -1 -1 0 -1 -1 -1 0 0  
416   9.38  10.92 1305 -27 -1 -1 -1 0 -1 -1 -1 0 0  
420   9.38  11.05 1305 -63 -1 -1 -1 0 -1 -1 -1 0 0  
423   9.37  11.21 1290 -265 -1 -1 -1 0 -1 -1 -1 0 0  
426   9.40  11.36 1272 -356 -1 -1 -1 0 -1 -1 -1 0 0  
430   9.40  11.48 1291 -466 -1 -1 -1 0 -1 -1 -1 0 0  
433   9.39  11.62 1275 -578 -1 -1 -1 0 -1 -1 -1 0 0  
436   9.39  11.69 1294 -557 -1 -1 -1 0 -1 -1 -1 0 0  
440   9.39  11.79 1276 -631 -1 -1 -1 0 -1 -1 -1 0 0  
443   9.39  11.89 1277 -708 -1 -1 -1 0 -1 -1 -1 0 0  
446   9.39  11.94 1279 -651 -1 -1 -1 0 -1 -1 -1 0 0  
450   9.39  11.99 1279 -689 0 0 0 0 0 0 0 0 0  
453   9.39  12.04 1280 -821 0 0 0 0 0 0 0 0 0  
456   9.39  12.04 1281 -745 0 0 0 0 0 0 0 0 0  
460   9.39  12.04 1299 -745 0 0 0 0 0 0 0 0 0  
463   9.39  12.01 1281 -725 0 0 0 0 0 0 0 0 0  
466   9.39  11.99 1299 -630 0 0 0 0 0 0 0 0 0  
470   9.39  11.99 1281 -687 0 0 0 0 0 0 0 0 0  
473   9.39  11.94 1298 -574 0 0 0 0 0 0 0 0 0  
476   9.39  11.91 1299 -555 0 0 0 0 0 0 0 0 0  
480   9.39  11.89 2477 643 0 0 0 0 0 0 0 0 0  
483   9.41  11.89 2477 568 0 0 0 0 0 0 0 0 0  
486   9.46  11.91 2367 549 -1 -1 -1 0 -1 -1 -1 0 0  
490   9.51  11.94 2312 530 -1 -1 -1 0 -1 -1 -1 0 0  
493   9.60  11.99 2240 510 -1 -1 -1 0 -1 -1 -1 0 0  
496   9.70  12.06 2091 381 -1 -1 -1 0 -1 -1 -1 0 0  
500   9.77  12.11 2130 345 -1 -1 -1 0 -1 -1 -1 0 0  
503   9.91  12.18 2003 291 -1 -1 -1 0 -1 -1 -1 0 0  
506  10.01  12.22 1871 330 -1 -1 -1 0 -1 -1 -1 0 0  
510  10.13  12.29 1760 202 -1 -1 -1 0 -1 -1 -1 0 0  
513  10.35  12.37 1591 128 -1 -1 -1 0 -1 -1 -1 0 0  
516  10.50  12.41 1401 166 -1 -1 -1 0 -1 -1 -1 0 0  
520  10.70  12.46 1270 147 -1 -1 -1 0 -1 -1 -1 0 0  
523  10.99  12.52 1045 88 -1 -1 -1 0 -1 -1 -1 0 0  
526  11.23  12.57 845 -26 -1 -1 -1 0 -1 -1 -1 0 0  
530  11.44  12.60 763 -47 -1 -1 -1 0 -1 -1 -1 0 0  
533  11.76  12.60 438 22 -1 -1 -1 0 -1 -1 -1 0 0  
536  11.99  12.63 340 -74 -1 -1 -1 0 -1 -1 -1 0 0  
540  12.21  12.59 213 185 -1 -1 -1 0 -1 -1 -1 0 0  
543  12.49  12.59 -62 33 -1 -1 -1 0 -1 -1 -1 0 0  
546  12.69  12.59 -195 31 0 0 0 0 0 0 0 0 0  
550  12.89  12.59 -421 30 0 0 0 0 0 0 0 0 0  
553  13.08  12.59 -494 30 0 0 0 0 0 0 0 0 0  
556  13.23  12.57 -610 47 0 0 0 0 0 0 0 0 0  
560  13.34  12.57 -613 49 0 0 0 0 0 0 0 0 0  
563  13.43  12.57 -684 68 0 0 0 0 0 0 0 0 0  
566  13.48  12.57 -629 49 0 0 0 0 0 0 0 0 0  
570  13.50  12.57 -665 69 0 0 0 0 0 0 0 0 0  
573  13.51  12.57 -667 48 0 0 0 0 0 0 0 0 0  
576  13.48  12.57 -572 48 0 0 0 0 0 0 0 0 0  
580  13.43  12.57 -534 48 0 0 0 0 0 0 0 0 0  
583  13.38  12.57 -498 48 -1 -1 -1 0 -1 -1 -1 0 0  
586  13.33  12.57 -442 67 -1 -1 -1 0 -1 -1 -1 0 0  
590  13.24  12.57 -386 68 -1 -1 -1 0 -1 -1 -1 0 0  
593  13.19  12.57 -348 49 -1 -1 -1 0 -1 -1 -1 0 0  
596  13.12  12.57 -293 67 -1 -1 -1 0 -1 -1 -1 0 0  
600  13.02  12.57 -142 69 -1 -1 -1 0 -1 -1 -1 0 0  
603  12.97  12.59 -160 30 -1 -1 -1 0 -1 -1 -1 0 0  
606  12.89  12.59 1095 1247 -1 -1 -1 0 -1 -1 -1 0 0  
610  12.79  12.59 1153 1248 -1 -1 -1 0 -1 -1 -1 0 0  
613  12.74  12.59 1209 1229 -1 -1 -1 0 -1 -1 -1 0 0  
616  12.69  12.59 1172 1230 -1 -1 -1 0 -1 -1 -1 0 0  
620  12.62  12.59 1304 1250 -1 -1 -1 0 -1 -1 -1 0 0  
623  12.59  12.59 1248 1250 -1 -1 -1 0 -1 -1 -1 0 0  
626  12.54  12.59 1361 1232 -1 -1 -1 0 -1 -1 -1 0 0  
